Date,Title,Review
"September 29, 2023",Amazed,"I am amazed at how wonderful this moisturizer is for the price! Its regular pricing is inexpensive compared to so many others, but getting it during a Lovely Skin sale is even better! I have tried many moisturizers but this is the only one that doesn't cause breakouts, feels great on my skin, actually moisturizes, and can be used both before makeup and before bed. You really cannot go wrong with this one!"
"September 27, 2023",Great cream,Love — such a great moisturizer. Makes my face feel refreshed. Great for night time.
"September 26, 2023",Perfect daily moisturizer,Love the texture of this formula it melts into your skin! Perfect for all skin types I would say! I use morning and night and I will for life!
"September 08, 2023",Good quality,I like the light texture of this moisturizer. If my skin feels too dry from the retin-a then I apply two layers. It doesn’t feel greasy nor heavy.
"September 04, 2023",Great everyday facial moisturizer,"Great daily facial moisturizer, especially for dry skin. This is great to wear overnight in dry environments, also. I would recommend testing out a small sample first if you have acne-prone skin."
"September 01, 2023",Perfect Moisturizer!,It really works well as a nighttime moisturizer. I use all these products from occasional eczema.
"September 01, 2023","Really like it, thick but not heavy",Moisturizing and thick. Lot for a good price. For sensitive skin
"September 01, 2023",Drug store moisturizer with a luxury feel,"I have tried all kinds of moisturizers from many price ranges and I always come back to this one. It is readily available and feels so wonderful on my skin. Does not break me out and mixes well with my other products, especially my tinted sunscreen."
"August 26, 2023",Dewy skin,I received this as a sample and decided to purchase it after how dewy it looked on my skin. Will continue to use it .
"August 26, 2023",love this brand!,Gret moisturizer for my skin after I use my retinol regimen.
"August 24, 2023",I am impressed how well it works!,"First time user of La Roche-Posay Toleriane Double Repair Face Moisturizer. I was skeptical at first, but I have been pleasantly surprised. I apply it every night after Retin A. My skin is no longer ‘angry’ in the morning!"
"August 18, 2023",Great daily moisturizer!,I use tretinoin every night for my acne-prone skin which can sometimes cause my skin a lot of irritation. I’ve been searching for a moisturizer that takes care of irritation and flakiness without causing breakouts and this is definitely the one! This is absolutely a staple in my skin care routine!
"July 31, 2023",Excellent,I've been experiencing red and itchy skin around my eyes for several months and have tried a number of moisturizers. Thank goodness I heard La Roche-Posay Toleriane Double Repair Face Moisturizer recommended by a dermatologist on YouTube as it has helped so much. It doesn't seep into my eyes and cause irritation even though I apply it to upper and lower lids a few times a day.
"July 24, 2023",Great quality,I have tried so many products but nothing compares to this moisturizer. The quality of this product is exceedingly comparable to any other moisturizer. the price is also unbeatable! I will totally repurchase this again.
"July 23, 2023",Great Basic,This is a strong moisturizer at a great price point.
"July 16, 2023","Love, love, love",Wonderful moisturizer. This soaks right in and I can layer it over other products without any problem. Another great product from this brand.
"June 28, 2023",Great for mature sensitive skin,"I switched from Epionce moisturizers to this L-P double repair moisturizer. It is just as gentle and moisturizing, and very affordable. Great for my mature sensitive skin with rosacea."
"June 23, 2023",Very good.,Not greasy and very light on skin. Did not cause breakout!
"June 22, 2023",Awesome,I use this at night. My oily scene prone skin loves it. Been using it for years.
"June 16, 2023",Excellent Face Moisturizer,"For whatever reason, my face has gotten exponentially dry over the past year. I have tried multiple products trying to find something that would provide the right level of moisturizer. Thus far, this one is the best. I don’t have problems with piling and my face feels much better throughout the day. It works well under my makeup. If you are looking for a good moisturizer, please give this one a try."
"June 16, 2023",good moisturizer,This is a great moisturizer that absorbs well and leaves my skin healthy looking.
"June 09, 2023",Lightweight but moisturizing,This moisturizer is great for dry or dry to combination skin. I use it both morning and night. It's light enough for daytime use and also great at the end of my nighttime routine.
"June 08, 2023","Good, but not life changing","This has been a good, cheap moisturizer for me during the summer when I need something lighter, but it definitely hasn't changed my life or anything. I think when this runs out, I'll try another moisturizer for summer months. Still haven't found the right one for me!"
"June 05, 2023",Heavy Moisturizer,This lotion is thick! I prefer to put this on at night to repair or during the day when I feel like I need a little extra moisture. I also appreciate that it is a larger bottle. I’ll definitely be purchasing again.
"May 31, 2023",Great moisturizer,"This is a great moisturizer! I am a 51-year-old woman with combo to oily skin, prone to breaking out from two heavy skin care products. This does not make me break out, it seems to give me a good balance of hydration for my type of skin. Highly recommend !!"
"May 30, 2023",Great moisturizer,"My facialist gave me a sample of this moisturizer after I had a peel or other treatment, and she said to use it for a few days since my skin was particularly sensitive. I loved it, and I purchased a full size product shortly afterwards. It's light but moisturizing and I think it will be great in the upcoming summer months when I don't want a heavy moisturizer."
"May 10, 2023",Good one for dry skin,I use it as my daily moisturizer when I am staying working from home. I have oily skin so it does leave my skin too shiny for my taste but it does moisturizes really nice. I guess it works better for dry skin
"May 06, 2023",Good summer moisturizer,"It is a light moisturizer—a little too light for winter. However, I think as we move from spring into summer that this moisturizer is very nice. I have sensitive skin and this caused no irritation at all. I like it and recommend."
"May 05, 2023",The best,Finally found solution for dry mature skin!
"May 02, 2023",Amazing moisturizer,"Amazing moisturizer, hydrating, leave my skin so soft and is perfect after using my retinol, doesn’t leave my skin dry and is perfect"
"May 01, 2023",Great moisturizer - works as intended,Great moisturizer for oily combination skin
"April 25, 2023",Just okay,There is truly nothing special about this. Don’t love the texture and not very moisturizing. I love lots of products from the brand but this one is just very generic
"April 20, 2023",The best cream ever!!!,"The best cream ever!!! I needed something for skin barrier repair since I used too much of Aha/ Bha acne products. This cream is skin savior, it is super moisturizing but never oily, never piles up on face, great under makeup. It is my third order I will be using forever it is so great."
"April 19, 2023",Good stuff,"I like this lotion and I use it for my neck and chest for the sunscreen aspect. I like the texture and the moisture it provides, but it’s just a tad greasy on my skin."
"April 12, 2023",Great Day Lotion,I wear this every morning when I go to the gym. It is light enough for working out but creates a a wonderful moisture barrier to keep my skin hydrated. It has a very mild pleasant scent.
"April 08, 2023",Great moisturizer!,"Another great product from La-roche posay. Feels so good on my allergy, red, dry skin. No harsh chemicals- only the good stuff. Highly recommend trying this for your face!"
"April 07, 2023",Great Daily Moisturizer!,I am writing this review on behalf of my husband who has been using this product for nearly 3 years. He doesn't like moisturizers that leave a heavy feeling or shine on his skin. This one is just right to leave his skin balanced and moisturized in any season of the year. He uses it after his evening shower and applies the version with sunscreen during the day time.
"March 30, 2023",Great for sensitive skin,Use this as an everyday moisturizer.
"March 30, 2023",Good moisturizing,Many dermatologists recommended this item.
"March 27, 2023",Fine for day use,I find this to be good for daytime use under makeup but not a great moisturizer for night time use. Very light and does absorb quickly.
"March 27, 2023",Toleriane double repair,"This product is mostly used by my 17 year old daughter. She has tricky teenage skin with its share of breakouts, etc. However, she is also dry so most acne products leave her dry and flaking. This moisturizer is her exclusive go-to for a.m. and pm moisturizing. It keeps her skin balanced and moisturized without clogging pores. I have tried it (53 years w/combo-dry skin) and it is good for am but I prefer a very thick pm moisturizer. This has really kept her skin in great shape and is a very simple routine that anyone can follow."
"March 27, 2023",Love!,This is the best moisturizer I have ever used. It keeps my skin well hydrated. I use it to lock in my serums and to serve as a protective coating. And the price point is fantastic!
"March 23, 2023",Perfect lightweight moisturizer,Doesn’t clog pores and is the perfect weight for spring and summer. My esthetician said she also uses this! Good value as well
"March 16, 2023",Love,"Great, simple everyday lotion. I have sensitive skin and I’m allergic to preservatives found in just about every product. I can safely use this and it just hydrated my skin. I love it."
"February 27, 2023",Great face cream,My face is really dry and this cream feels great! It is not heavy and keeps my face moisturized.
"February 27, 2023",Double Repair Face Moisturizer,This is a great product. I have very dry skin and I use this product morning and evening - it keeps my face feeling moisturized and soft. Really like it.
"February 22, 2023","great for dry, sensitive skin","For me, this is the better facial moisturizer as between this one and La Roche-Posay's Toleriane Dermallergo pump-version moisturizer. The latter is a bit lighter, but this one is richer, which I prefer, and is also in simpler packaging, a simple squeeze bottle rather than a pump that sometimes clogs. I recommend this facial moisturizer for those with sensitive, dry facial skin, as its softening, moisturizing effects last into the next day."
"February 19, 2023",Great Daily Moisturizer,"This is a great moisturizer option for during the day. It's not too heavy, not too light. Just the right weight for daily use."
"February 18, 2023",Good for dry skin,"I use this when my face is flaky, ultra dry, or red. It is safe and feels relieving when my skin is in a sensitive state. Rating a 4 because I wouldn’t say it’s “double repair” quality."
"February 17, 2023",Okay,I won't be buying this again. Not great for dry skin. I will be sticking with other brands.
"February 11, 2023",Great moisturizer,Great moisture. Have re-purchased 3 times now. Really good price.
"February 10, 2023",Good No Fuss Moisturizer,"As with most skincare products, it took about a week before I fully appreciated it! It is a good no fuss moisturizer with other products that have active ingredients! Not too light not too heavy."
"January 28, 2023",Pretty good,"I love all La Roche products! This moisturizer works very well, only issue was pilling. I think it does not mix well with some of my other products."
"January 20, 2023",Double Repair,I do love many La Roche-Posay products. I think this product would be better for me in the summer season rather than during winter months. It just isn’t enough of a moisturizer during winter months.
"January 16, 2023",Finally something that works,"My dermatologist gave me a sample of this and I loved it. Decided to get it for my dry winter skin. I find that I do need to reapply it around noon time, but overall it's a lot better than other brands I've been trying. Will be repurchasing."
"January 15, 2023",Light yet moisturizing,I have very dry skin in the winter. This lotion is moisturizing but not greasy. Easily absorbed
"January 09, 2023",Good basic moisturizer,"I am a repeat buyer of this product. It is gentle enough for my sensitive skin, even post procedure. Because of the good price point, I can use it generously."
"January 07, 2023",Dry skin,"I was so hopeful that this would make my super dry skin, feel moist and soft. However, it did not do the job and I still feel dry and need to use an alternative moisturizer :("
"January 06, 2023",Just ok,This product is just ok. It seems to only sit on top of my skin and not add hydration or moisture.
"January 06, 2023",LOVE! w/tretinoin and acne,"47 years old - Everything makes my face breakout…not this. Using tretinoin nightly, Cica Baum over it and no drying. Use it on my lips, my cuticles…LOVE!"
"January 06, 2023",Reasonably priced,I first tried this products sunscreen and was impressed. I'm glad I took a chance on the moisturizer. It was reasonably priced and just as good as some more expensive products. Would easily purchase again.
"December 31, 2022",Savior during winter time,"Purchased for my husband after he complained about dryness but refused to use my serums and masks. He is very happy with this moisturizer, easy to put on and long lasting too!"
"December 22, 2022",Great winter night moisturizer for my face,"This is my ""go to"" winter night moisturizer for my face. It is thick and mosturizing for dry chapped skin and works well to wear overnight."
"December 22, 2022",La Roche Posay Toleriane Double Repair Face Moisturizer,This is a great moisturizer It doesn’t breakout my skin as many others have! my teen daughter loves it too!
"December 16, 2022",For irritation,"I have sensitive, redness prone, normal-to-dry skin with acne rosacea. Double Repair Moisturizer is one of the best for irritated areas from retinol. I get breakouts if I use it all over my face, though, so I can only use it to spot treat."
"December 09, 2022",Love it!,Very soft on the skin and gets absorbed fast.
"December 09, 2022",Good,This moisturizer is pretty good. Gentle and hydrating. I have moistly oily skin and use this to spot treat when I have an area that is having some sensitivity for some reason from actives.
"December 09, 2022",Redness,I liked the feel of the product but realized my skin was getting red from using it. I have never had that reaction before from other products that I have ordered on this site.
"December 06, 2022",Excellent for Sensitive Skin,I was recently diagnosed with excema and had to change up my skincare routine. This moisture helped tremendously with the Chicago cold dry air. Very impressed.
"December 05, 2022",Good moisturizer,"This is a nice moisturizer, I like to use it at night. I also appreciate that it is reasonably priced considering it contains ceramide and niacinamide."
"November 29, 2022",Nice moisturizer,Just started using this but noticed quick absorption and non-greasy feel. My skin feels softer too.
"November 26, 2022",Great!,"This one does its job! Great moisturizer, non sticky, it absorbs pretty fast. Would definitely recommend."
"November 19, 2022",Great for dry skin,This is a great moisturizer. It leaves the skin feeling soft and hydrated without feeling greasy. This is becoming one of my favorite brands.
"November 18, 2022",Really nice,This is a great daytime moisturizer! Pretty light and easily absorbed. Will repurchase.
"November 17, 2022",Healthy and refreshed,My skin feels refreshed and gets rid of any dryness
"November 17, 2022",La Roche-Posay Toleriane Double Repair Face Moisturizer,I love this moisturizer! Keeps my skin hydrated without feeling greasy. Also does not clog pores so no breakouts! I will buy again!
"November 14, 2022",Love it,"I was experience flaking issues and after a consultation with a physician’s assistant at Lovely Skin recommended this product, I have not considered a change. Great, non greasy and also available with SPF 30. Use it every day with the SPF and straight at night."
"November 08, 2022",First-Time User...LOVE IT!,I love this moisturizer! My skin feels so soft after using it...it's a must-have!
"November 08, 2022",Love this moisturizer,This is a great moisturizer. Softens skin and lasts all day. I just ordered 2 more
"November 08, 2022","Love, Love, Love Toleriane Double Repair Face Moisturizer","This is the one product I would bring with me if I was stranded on a desert island. It is so soothing, and moisturizing, and doesn't have any ingredients that make my face flare-up."
"November 02, 2022",Amazing moisturizer,"This is a great product, it works for all type of skins, my skin is very dry, and my daughter is a teenager, with a beautiful completion, but with the teenager's challenges. We both use toleraine double repair, it hydrates our skin, does not clog pores, and maintains our faces moisturized all day long."
"October 29, 2022",La Roche Posay Moisturizer,Great product. I highly recommend. My skin looks softer. I highly recommend this product
"October 26, 2022",Top Moisturizer,"This is one of my go to moisturizers, I have probably repurchased more than a hand full of times. The price point is not only very attractive, but the product itself hydrates your skin with out feeling heavy. Definitely a great day to day basic moisturizer. A took off a star since lately the product has been peeling upon applying makeup. This had never happened until my last 2 purchased bottles."
"October 09, 2022",One of the best skin moisturizers I have used,"I have tried so many facial moisturizers, trying to find the “holy grail.” Most of them have been well over $100 and did not work very well. This an excellent moisturizer. I mix it with my sunscreen during the day and layer with La Roche-Posay’s eczema cream at night. I live in Colorado, where it is very dry year round."
"September 29, 2022",La Roche Moisturizer,Effective at getting rid of wrinkles...only limitation is that there is no SPF Sunscreen so you will need another product for that protection.
"September 27, 2022","Best ""bland"" moisturizer for counteracting actives",You always hear about using Retin-a or other actives and buffering or otherwise using an un-fragranced moisturizer. This is mine. Will always order.
"September 20, 2022",Favorite every day moisturizer,Love this moisturizer! My face is super sensitive with dry and acne prone skin. This gives me the moisture my skin so desperately needs without it feeling overly heavy on my face or clogging my pores. Definitely recommend!
"September 17, 2022",Effective daytime moisturizer!,I’ve enjoyed the benefits of using this daily. It’s just as good as a high end moisturizer.
"September 09, 2022",Favorite moisturizer,I've used it first then bought it for my husband as well. We love it. Good moisturizer with good price.
"August 25, 2022",Amazing moisturizer!,Love this moisturizer!! I will continue to buy this over and over! Very lightweight and not sticky!
"August 19, 2022",The best,I have tried many moisturizers and this one is the best. As soon as you apply you can feel it working immediately. And continues all day.
"August 18, 2022",Too heavy,Made me break out.
"August 09, 2022",Absorbs quickly,Nice moisturizer for summer. Will probably not be good for winter months if your skins tends to be dry.
"August 08, 2022",Did not work out as well as I wanted!,"I bought this for a rosacea breakout on my chest, did ok, absorbs well but certainly not as effective as other moisturizing products I’ve used. I gave it 4 stars because the price is reasonable & overall it did not do any harm!"
"August 05, 2022",Good basic moisturizer,I wanted a basic moisturizer that wasn't too expensive since I use expensive serums. This one fit the bill. I like that it includes niacinamide.
"July 31, 2022",So hydrating,This is so creamy and light. It makes your face feel so good and it is not greasy. There is no smell.
"July 30, 2022",Wonderful light moisturizer,Perfect for normal/oily skin. The niacinamide is evening out my skin tone. La roche posay is transforming my skin!
"July 29, 2022",Surprisingly nice. The reviews weren’t wrong,This is thicker than what I would normally use but very absorbent and non greasy. No irritants and no fragrance. I use it mainly at night and like it.
"July 28, 2022",Always a great brand,Love all roche posey products and this is no exception. Very soothing and moisturizing.
"July 24, 2022",Perfect for oily skin,I have pretty oily skin and it has been difficult finding a moisturizer that doesn't make me feel oily by the end of the day. I love using this facial moisturizer and have been using it for a few months now. It is light and has great coverage. Will definitely purchase again.
"July 23, 2022",Calms and hydrated skin,Love this moisturizer- so much that I bought stock in the company!
"July 21, 2022",The Best,This moisturizer is perfect. It leaves your skin feeling so soft without being greasy.
"July 18, 2022",As described- works,Purchased based on positive reviews and agreed that this daily face lotion is great! Recommend
"July 16, 2022",Hydrating,"This lotion is hydrating and moisturizing and great for sensitive skin. The one thing I do recommend is if you wear makeup over you need to put a primer on first or the lotion and makeup will peel. I bought this when the Obagi hydrating moisturizer was out of stock to give it a try. I still like the Obagi much better, but this will work in the interim."
"July 15, 2022",Calming and Hydrating,"I use this moisturizer year-round. It has the perfect consistency and absorbs quickly, leaving my redness prone skin calm and hydrated."
"July 12, 2022",My New Holy Grail,"I love this rich moisturizer. Though it feels rich and moisturizing, it doesn't feel heavy on skin. The formulation is just perfect and it doesn't give me pimples nor any reactions. It is a must in every woman's skincare!"
"July 09, 2022",Love it,"Use at night, it's part of my skin routine. It's so soft & creamy. It definitely repairs my skin overnight."
"July 07, 2022",Perfect,"I've been using La Roche-Posay Toleriane Double Repair Face Moisturizer for years. It's part of my daily routine. I like it for its moisturizing properties and it contains niacinamide. The best part of all, it is unscented, a must for me."
"July 07, 2022",Silky Smooth,"I purchased this after having a sample come to me in the mail. It is silky smooth, great for sensitive skin and has a very light non greasy feel to it. I put this on after my shower and have seen some good results so far, as less dry and smoother complexion. I am 63 & have some sun damage. Highly recommend and this site had the best price of any place I looked."
"July 05, 2022",Nice neutral moisturizer,Nice light-weight moisturizer that doesn't irritate my skin.
"July 04, 2022",La Roche-Posay,"Compared to other cleansers, I felt this cleanser did not clean as effectively and I needed to use a lot of it. I have combination skin. Perhaps it is better suited for very dry skin. But even then, I am not sure how effective it is for removing makeup, etc."
"June 19, 2022",A great product,"I have very dry, sensitive skin and this product is my go to after micro needling when my skin has settled down but needs lots of moisture and protection. It’s inexpensive, un scented, easily absorbed and does not cause pimples."
"June 18, 2022",La Roche-Posay double repair face moisturizer,"I like the face moisturize, I have very sensitive skin, sofar it has work well for me. It takes care of the red from the rosacea."
"June 14, 2022",La roche posay toleriane double repair face moisturizer,"This moisturizer is really good ,and very hydrated .It is not greasy and itis a good price. I recommend it"
"June 10, 2022",My go to moisturizer!,"Lightweight, but very nourishing!"
"June 10, 2022",Toleriane Double Repair Face Moisturizer,"I've been using it for a couple weeks on a rough part of my face, in lieu of Toleriane Ultra. So far, the Double Repair Face Moisturizer seems to be working fine on that portion of my face."
"June 06, 2022",Pills,"In my experience, this product pilled on my skin. It felt as if it sat on top of my skin, instead of sinking in. However, it never caused irritation or a reaction and I like the ingredients; just didn't work for me."
"May 28, 2022",Great for the Price,"I have been using this moisturizer when I don't need the sunscreen protection, like at night. It does a good job of keeping my skin hydrated, without a greasy, heavy feeling."
"May 24, 2022",Most hydrating moisturizer,This cream is easily absorbed and light weight and most importantly it hydrates deeply and reduces redness.
"May 23, 2022",Best Light Moisturizer,My skin isn’t as dry in the summer months so my heavy winter moisturizer can break me out. This is my favorite light moisturizer.
"May 15, 2022",Fantastic moisturizer….best product,I am reviewing based on a sample and I just purchased a full size. This moisturizer hands down is the best for my skin. I have combo and now in warmer weather other products would make and show a greasy shiny face. This product gives a terrific matte finish and feels so nourishing to my face. Best product ever. So happy after 30 yrs I have found a product that actually works for me.
"May 15, 2022",highly recommended,"I live in Hawaii and have sensitive combination skin. I was looking for something that is easily absorbed in the morning before I apply my sunscreen. Some moisturizers do not absorb that well and I need something to work fast as I get ready in the morning. After trying soooo many different things, I finally found something that works. I use this and then about 5 minutes or so later I can apply my sunscreen and I am good to go. Give it a try, you won't regret it."
"May 12, 2022",Great for my increasingly sensitive skin,"I had to switch up my skincare products, especially the moisturizers, because I've developed perioral contact dermatitis that has been persistent for a year. My dermatologist told me that botanical ingredients, especially hyaluronic acid, are common culprits. Have always liked LaRoche Posay products so was happy to find this moisturizer fit my needs for products with no HA. A little bit goes a long way, it goes on smoothly, and my skin is recovering nicely while still hydrated."
"May 11, 2022",Double Repair Facial Moisturizer,"I have tried this product several times but it pills when trying to apply my makeup, leaves my skin looking very greasy and has caused clogged pores with break outs. Not a fan."
"May 06, 2022",Great Product for Sensitive skin,"This is a wonderful moisturizer. I have sensitive skin, irritates easily especially when temperature changes. This product is a good daily moisturizer- calms my skin, is quickly absorbed and light weight- great for summer. I use other high end moisturizers but when my skin needs a break, it's great to rotate this in my regime."
"May 05, 2022",Smooth and moisturizes,It’s perfect for my teen daughter who also uses the La Roche cleanser and toner. It’s light and yet moisturizing. Highly recommend.
"April 18, 2022",Good moisturizer for sensitive skin,"This moisturizer works quite well for my skin that is oily and acne-prone while also being gentle for my rosacea. The only thing I don’t like is that my skin does appear pretty greasy when I use it, but it does not make me break out."
"April 09, 2022",Lovely,I used it again and again
